id,gid,x,y,v_x,v_y,radius,time
0,0,10.159602,0.354952,-0.129964,-0.003043,0.200000,0.050000
1,0,12.541904,0.591308,-0.129926,-0.004380,0.200000,0.050000
2,0,7.315540,-0.121917,-0.129994,0.001287,0.200000,0.050000
3,0,6.798056,-0.839916,-0.129672,0.009231,0.200000,0.050000
4,0,8.828558,0.699684,-0.129834,-0.006569,0.200000,0.050000
5,0,5.217169,0.534264,-0.129823,-0.006789,0.200000,0.050000
6,0,13.689010,-1.049466,-0.129796,0.007289,0.200000,0.050000
7,0,10.853500,-0.169775,-0.129993,0.001392,0.200000,0.050000
8,0,13.306403,-0.537250,-0.129944,0.003814,0.200000,0.050000
9,0,8.023051,-0.220514,-0.129981,0.002201,0.200000,0.050000
10,0,6.856801,0.219418,-0.129978,-0.002405,0.200000,0.050000
11,0,14.754404,-0.691021,-0.129921,0.004545,0.200000,0.050000
12,0,13.403403,0.595294,-0.129932,-0.004203,0.200000,0.050000
13,0,8.519800,0.131723,-0.129994,-0.001267,0.200000,0.050000
14,0,6.805844,-0.414673,-0.129920,0.004563,0.200000,0.050000
15,0,13.605610,1.020484,-0.129805,-0.007120,0.200000,0.050000
16,0,6.439160,0.049959,-0.129999,-0.000568,0.200000,0.050000
17,0,6.772938,0.882411,-0.129636,-0.009717,0.200000,0.050000
18,0,9.491933,-0.437445,-0.129941,0.003922,0.200000,0.050000
19,0,7.325805,-0.838949,-0.129700,0.008828,0.200000,0.050000
20,1,7.298880,7.706970,-0.023810,-0.127801,0.200000,0.050000
21,1,8.364611,-4.201477,-0.029780,-0.126543,0.200000,0.050000
22,1,7.111531,2.329550,-0.001176,-0.129995,0.200000,0.050000
23,1,9.086453,-3.082913,-0.037542,-0.124461,0.200000,0.050000
24,1,5.310845,5.483508,0.014099,-0.129233,0.200000,0.050000
25,1,8.411736,-2.035580,-0.022689,-0.128005,0.200000,0.050000
26,1,6.822040,6.561810,0.001397,-0.129992,0.200000,0.050000
27,1,5.168068,1.216815,0.020954,-0.128300,0.200000,0.050000
28,1,4.810628,3.016360,0.021563,-0.128199,0.200000,0.050000
29,1,4.813771,0.702686,0.026018,-0.127370,0.200000,0.050000
30,1,7.602839,3.440397,-0.005825,-0.129869,0.200000,0.050000
31,1,7.275493,-4.351442,-0.006333,-0.129846,0.200000,0.050000
32,1,5.645445,2.233199,0.014307,-0.129210,0.200000,0.050000
33,1,7.976907,5.357623,-0.008253,-0.129738,0.200000,0.050000
34,1,4.927924,6.629850,0.016074,-0.129002,0.200000,0.050000
35,1,9.183313,3.778260,-0.020346,-0.128398,0.200000,0.050000
36,1,6.196857,4.201830,0.007340,-0.129793,0.200000,0.050000
37,1,8.551996,3.856170,-0.014471,-0.129192,0.200000,0.050000
38,1,9.140369,4.625429,-0.018824,-0.128630,0.200000,0.050000
39,1,6.798979,8.862000,0.001385,-0.129993,0.200000,0.050000
0,0,10.147255,0.354662,-0.246928,-0.005797,0.200000,0.100000
1,0,12.529561,0.590892,-0.246860,-0.008321,0.200000,0.100000
2,0,7.301820,-0.096852,-0.274404,0.501287,0.200000,0.100000
3,0,6.766573,-0.864455,-0.629672,-0.490769,0.200000,0.100000
4,0,8.847067,0.724355,0.370166,0.493431,0.200000,0.100000
5,0,5.235678,0.508924,0.370177,-0.506789,0.200000,0.100000
6,0,13.676680,-1.048774,-0.246609,0.013836,0.200000,0.100000
7,0,10.841151,-0.169643,-0.246985,0.002643,0.200000,0.100000
8,0,13.294037,-0.537099,-0.247306,0.003022,0.200000,0.100000
9,0,8.010706,-0.220311,-0.246900,0.004064,0.200000,0.100000
10,0,6.875302,0.194297,0.370022,-0.502405,0.200000,0.100000
11,0,14.742062,-0.690589,-0.246849,0.008635,0.200000,0.100000
12,0,13.371907,0.570084,-0.629932,-0.504203,0.200000,0.100000
13,0,8.488301,0.106659,-0.629994,-0.501267,0.200000,0.100000
14,0,6.824348,-0.389445,0.370080,0.504563,0.200000,0.100000
15,0,13.624120,1.045128,0.370195,0.492880,0.200000,0.100000
16,0,6.407660,0.074930,-0.629999,0.499432,0.200000,0.100000
17,0,6.761439,0.906925,-0.229983,0.490283,0.200000,0.100000
18,0,9.479591,-0.437078,-0.246831,0.007341,0.200000,0.100000
19,0,7.318181,-0.863507,-0.152484,-0.491172,0.200000,0.100000
20,1,7.296618,7.694829,-0.045239,-0.242822,0.200000,0.100000
21,1,8.362750,-4.213297,-0.037212,-0.236391,0.200000,0.100000
22,1,7.111341,2.317292,-0.003799,-0.245170,0.200000,0.100000
23,1,9.082886,-3.094737,-0.071330,-0.236476,0.200000,0.100000
24,1,5.312184,5.471231,0.026787,-0.245543,0.200000,0.100000
25,1,8.409580,-2.047741,-0.043110,-0.243209,0.200000,0.100000
26,1,6.822173,6.549461,0.002656,-0.246986,0.200000,0.100000
27,1,5.169498,1.204930,0.028600,-0.237691,0.200000,0.100000
28,1,4.812676,3.004182,0.040956,-0.243567,0.200000,0.100000
29,1,4.790072,0.721317,-0.473982,0.372630,0.200000,0.100000
30,1,7.602285,3.428060,-0.011076,-0.246729,0.200000,0.100000
31,1,7.272816,-4.364211,-0.053541,-0.255365,0.200000,0.100000
32,1,5.646635,2.221324,0.023788,-0.237500,0.200000,0.100000
33,1,7.976123,5.345298,-0.015680,-0.246502,0.200000,0.100000
34,1,4.929450,6.617595,0.030536,-0.245104,0.200000,0.100000
35,1,9.207295,3.748141,0.479654,-0.602375,0.200000,0.100000
36,1,6.197554,4.189500,0.013945,-0.246605,0.200000,0.100000
37,1,8.526273,3.849871,-0.514471,-0.125992,0.200000,0.100000
38,1,9.138580,4.613209,-0.035767,-0.244396,0.200000,0.100000
39,1,6.799111,8.849651,0.002632,-0.246986,0.200000,0.100000
0,0,10.129649,0.354225,-0.352132,-0.008735,0.200000,0.150000
1,0,12.511958,0.590092,-0.352049,-0.016005,0.200000,0.150000
2,0,7.313100,-0.096788,0.225596,0.001287,0.200000,0.150000
3,0,6.731746,-0.886063,-0.696537,-0.432167,0.200000,0.150000
4,0,8.857233,0.746220,0.203327,0.437297,0.200000,0.150000
5,0,5.239613,0.498991,0.078715,-0.198657,0.200000,0.150000
6,0,13.659093,-1.047787,-0.351743,0.019740,0.200000,0.150000
7,0,10.823540,-0.169459,-0.352217,0.003678,0.200000,0.150000
8,0,13.276412,-0.536773,-0.352519,0.006533,0.200000,0.150000
9,0,7.973361,-0.245108,-0.746900,-0.495936,0.200000,0.150000
10,0,6.868803,0.194177,-0.129978,-0.002405,0.200000,0.150000
11,0,14.724481,-0.689981,-0.351617,0.012151,0.200000,0.150000
12,0,13.337262,0.547572,-0.692886,-0.450233,0.200000,0.150000
13,0,8.481801,0.106596,-0.129994,-0.001267,0.200000,0.150000
14,0,6.817852,-0.389216,-0.129920,0.004563,0.200000,0.150000
15,0,13.634289,1.066943,0.203380,0.436309,0.200000,0.150000
16,0,6.401160,0.076931,-0.129999,0.040012,0.200000,0.150000
17,0,6.744261,0.928183,-0.343552,0.425162,0.200000,0.150000
18,0,9.462032,-0.436659,-0.351190,0.008373,0.200000,0.150000
19,0,7.304851,-0.885155,-0.266605,-0.432964,0.200000,0.150000
20,1,7.293391,7.677512,-0.064525,-0.346341,0.200000,0.150000
21,1,8.359586,-4.230261,-0.063290,-0.339291,0.200000,0.150000
22,1,7.111124,2.299836,-0.004340,-0.349110,0.200000,0.150000
23,1,9.077799,-3.111601,-0.101739,-0.337290,0.200000,0.150000
24,1,5.314095,5.454169,0.038222,-0.341251,0.200000,0.150000
25,1,8.406460,-2.065339,-0.062396,-0.351964,0.200000,0.150000
26,1,6.822363,6.531847,0.003800,-0.352279,0.200000,0.150000
27,1,5.145928,1.218046,-0.471400,0.262309,0.200000,0.150000
28,1,4.815592,2.986871,0.058326,-0.346212,0.200000,0.150000
29,1,4.770055,0.731719,-0.400340,0.208044,0.200000,0.150000
30,1,7.601483,3.410505,-0.016039,-0.351099,0.200000,0.150000
31,1,7.270093,-4.382194,-0.054473,-0.359676,0.200000,0.150000
32,1,5.648271,2.204316,0.032723,-0.340161,0.200000,0.150000
33,1,7.975005,5.327719,-0.022370,-0.351582,0.200000,0.150000
34,1,4.931656,6.600219,0.044105,-0.347514,0.200000,0.150000
35,1,9.227678,3.715362,0.407656,-0.655596,0.200000,0.150000
36,1,6.197876,4.171807,0.006437,-0.353860,0.200000,0.150000
37,1,8.505237,3.838728,-0.420727,-0.222847,0.200000,0.150000
38,1,9.135808,4.596311,-0.055442,-0.337947,0.200000,0.150000
39,1,6.799299,8.832037,0.003754,-0.352280,0.200000,0.150000
0,0,10.109826,0.354553,-0.396456,0.006564,0.200000,0.200000
1,0,12.489671,0.588955,-0.445739,-0.022728,0.200000,0.200000
2,0,7.307899,-0.091267,-0.104028,0.110415,0.200000,0.200000
3,0,6.693920,-0.905021,-0.756517,-0.379159,0.200000,0.200000
4,0,8.859892,0.765549,0.053182,0.386576,0.200000,0.200000
5,0,5.236659,0.489693,-0.059093,-0.185974,0.200000,0.200000
6,0,13.636775,-1.046535,-0.446357,0.025042,0.200000,0.200000
7,0,10.801501,-0.169286,-0.440781,0.003475,0.200000,0.200000
8,0,13.254083,-0.536341,-0.446572,0.008628,0.200000,0.200000
9,0,7.933252,-0.267302,-0.802187,-0.443887,0.200000,0.200000
10,0,6.887304,0.219057,0.370022,0.497595,0.200000,0.200000
11,0,14.702205,-0.689204,-0.445506,0.015553,0.200000,0.200000
12,0,13.299586,0.527118,-0.753539,-0.409090,0.200000,0.200000
13,0,8.480594,0.111507,-0.024139,0.098223,0.200000,0.200000
14,0,6.795673,-0.413988,-0.443572,-0.495437,0.200000,0.200000
15,0,13.636951,1.086206,0.053254,0.385247,0.200000,0.200000
16,0,6.389006,0.077516,-0.243089,0.011711,0.200000,0.200000
17,0,6.722322,0.946804,-0.438793,0.372403,0.200000,0.200000
18,0,9.443794,-0.440005,-0.364760,-0.066909,0.200000,0.200000
19,0,7.286370,-0.904172,-0.369606,-0.380340,0.200000,0.200000
20,1,7.289297,7.655537,-0.081879,-0.439497,0.200000,0.200000
21,1,8.355247,-4.251856,-0.086778,-0.431896,0.200000,0.200000
