id,gid,x,y,v_x,v_y,radius,time
1,1,5.429603,5.429709,-0.588137,-0.587406,0.500000,0.600000
2,2,0.000186,7.621962,0.000789,-0.978784,0.500000,0.600000
3,3,-5.397618,5.397683,0.671202,-0.671016,0.500000,0.600000
4,4,-7.672931,0.000073,0.845783,0.000160,0.500000,0.600000
5,5,-5.392470,-5.392721,0.684875,0.683926,0.500000,0.600000
6,6,0.000193,-7.616765,0.001297,0.992200,0.500000,0.600000
7,7,5.424907,-5.424799,-0.600481,0.600398,0.500000,0.600000
0,0,7.587283,0.000119,-0.979136,0.000220,0.500000,0.650000
1,1,5.399048,5.399203,-0.611096,-0.610138,0.500000,0.650000
2,2,0.000234,7.571101,0.000947,-1.017212,0.500000,0.650000
3,3,-5.362740,5.362814,0.697562,-0.697373,0.500000,0.650000
4,4,-7.629011,0.000080,0.878410,0.000144,0.500000,0.650000
5,5,-5.356870,-5.357180,0.712015,0.710811,0.500000,0.650000
6,6,0.000278,-7.565207,0.001697,1.031150,0.500000,0.650000
7,7,5.393706,-5.393609,-0.624005,0.623817,0.500000,0.650000
0,0,7.536657,0.000129,-1.012528,0.000199,0.500000,0.700000
1,1,5.367463,5.367678,-0.631700,-0.630487,0.500000,0.700000
2,2,0.000290,7.518512,0.001124,-1.051773,0.500000,0.700000
3,3,-5.326676,5.326760,0.721275,-0.721082,0.500000,0.700000
4,4,-7.583639,0.000087,0.907430,0.000123,0.500000,0.700000
5,5,-5.320037,-5.320430,0.736653,0.734999,0.500000,0.700000
6,6,0.000386,-7.511898,0.002153,1.066180,0.500000,0.700000
7,7,5.361449,-5.361367,-0.645145,0.644831,0.500000,0.700000
0,0,7.484527,0.000138,-1.042593,0.000170,0.500000,0.750000
1,1,5.334954,5.335244,-0.650180,-0.648687,0.500000,0.750000
2,2,0.000356,7.464370,0.001320,-1.082854,0.500000,0.750000
3,3,-5.289545,5.289640,0.742608,-0.742407,0.500000,0.750000
4,4,-7.536942,0.000078,0.933954,-0.000177,0.500000,0.750000
5,5,-5.282137,-5.282591,0.757991,0.756792,0.500000,0.750000
6,6,0.000519,-7.457014,0.002664,1.097683,0.500000,0.750000
7,7,5.328242,-5.328183,-0.664140,0.663676,0.500000,0.750000
0,0,7.431043,0.000144,-1.069668,0.000133,0.500000,0.800000
1,1,5.301617,5.301997,-0.666740,-0.664946,0.500000,0.800000
2,2,0.000433,7.408830,0.001535,-1.110802,0.500000,0.800000
3,3,-5.251456,5.251561,0.761795,-0.761587,0.500000,0.800000
4,4,-7.489057,0.000053,0.957695,-0.000491,0.500000,0.800000
5,5,-5.243280,-5.243771,0.777140,0.776398,0.500000,0.800000
6,6,0.000680,-7.400713,0.003228,1.126013,0.500000,0.800000
7,7,5.294182,-5.294155,-0.681203,0.680567,0.500000,0.800000
0,0,7.376341,0.000149,-1.094055,0.000087,0.500000,0.850000
1,1,5.267539,5.268024,-0.681566,-0.679450,0.500000,0.850000
2,2,0.000521,7.352033,0.001766,-1.135928,0.500000,0.850000
3,3,-5.212503,5.212619,0.779052,-0.778835,0.500000,0.850000
4,4,-7.440111,0.000012,0.978922,-0.000819,0.500000,0.850000
5,5,-5.203564,-5.204069,0.794319,0.794036,0.500000,0.850000
6,6,0.000873,-7.343139,0.003842,1.151489,0.500000,0.850000
7,7,5.259356,-5.259370,-0.696525,0.695699,0.500000,0.850000
0,0,7.320539,0.000150,-1.116027,0.000030,0.500000,0.900000
1,1,5.232798,5.233406,-0.694822,-0.692368,0.500000,0.900000
2,2,0.000622,7.294107,0.002014,-1.158515,0.500000,0.900000
3,3,-5.172774,5.172902,0.794573,-0.794346,0.500000,0.900000
4,4,-7.390217,-0.000046,0.997880,-0.001162,0.500000,0.900000
5,5,-5.163078,-5.163574,0.809723,0.809903,0.500000,0.900000
6,6,0.001098,-7.284419,0.004506,1.174398,0.500000,0.900000
7,7,5.223842,-5.223908,-0.710279,0.709244,0.500000,0.900000
0,0,7.263748,0.000148,-1.135832,-0.000041,0.500000,0.950000
1,1,5.197465,5.198213,-0.706655,-0.703848,0.500000,0.950000
2,2,0.000735,7.235167,0.002277,-1.178816,0.500000,0.950000
