id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993480,-1.001964,0.130402,-0.039278,0.750000,0.050000
1,0,-8.993273,1.004477,0.134544,0.089542,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981110,-1.003744,0.247405,-0.035594,0.750000,0.100000
1,0,-8.980718,1.008522,0.251098,0.080900,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963484,-1.005374,0.352522,-0.032607,0.750000,0.150000
1,0,-8.962924,1.012193,0.355881,0.073418,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352295,0.000003,0.750000,0.150000
0,0,-8.941121,-1.006840,0.447256,-0.029316,0.750000,0.200000
1,0,-8.940410,1.015493,0.450280,0.066002,0.750000,0.200000
2,1,-0.058817,0.000001,-0.447052,0.000020,0.750000,0.200000
0,0,-8.914496,-1.008157,0.532496,-0.026353,0.750000,0.250000
1,0,-8.913649,1.018459,0.535220,0.059313,0.750000,0.250000
2,1,-0.085433,0.000004,-0.532311,0.000053,0.750000,0.250000
0,0,-8.884032,-1.009380,0.609271,-0.024456,0.750000,0.300000
1,0,-8.883066,1.021144,0.611662,0.053713,0.750000,0.300000
2,1,-0.115881,0.000008,-0.608961,0.000092,0.750000,0.300000
0,0,-8.850113,-1.010510,0.678397,-0.022602,0.750000,0.350000
1,0,-8.849050,1.023589,0.680313,0.048885,0.750000,0.350000
2,1,-0.149777,0.000017,-0.677922,0.000165,0.750000,0.350000
0,0,-8.813090,-1.011527,0.740453,-0.020339,0.750000,0.400000
1,0,-8.811931,1.025844,0.742383,0.045101,0.750000,0.400000
2,1,-0.186770,0.000030,-0.739852,0.000265,0.750000,0.400000
0,0,-8.773278,-1.012483,0.796244,-0.019123,0.750000,0.450000
1,0,-8.772031,1.027870,0.798001,0.040530,0.750000,0.450000
2,1,-0.226543,0.000011,-0.795464,-0.000380,0.750000,0.450000
0,0,-8.730964,-1.013400,0.846271,-0.018330,0.750000,0.500000
1,0,-8.729635,1.029717,0.847924,0.036928,0.750000,0.500000
2,1,-0.268816,0.000007,-0.845469,-0.000067,0.750000,0.500000
0,0,-8.686400,-1.014261,0.891292,-0.017225,0.750000,0.550000
1,0,-8.684980,1.031398,0.893088,0.033637,0.750000,0.550000
2,1,-0.313336,-0.000004,-0.890384,-0.000235,0.750000,0.550000
0,0,-8.639807,-1.015041,0.931845,-0.015596,0.750000,0.600000
1,0,-8.638313,1.032972,0.933343,0.031470,0.750000,0.600000
2,1,-0.359865,0.000037,-0.930593,0.000830,0.750000,0.600000
0,0,-8.591392,-1.015787,0.968302,-0.014929,0.750000,0.650000
1,0,-8.589829,1.034479,0.969681,0.030137,0.750000,0.650000
2,1,-0.408199,0.000070,-0.966683,0.000663,0.750000,0.650000
0,0,-8.541339,-1.016504,1.001069,-0.014336,0.750000,0.700000
1,0,-8.539715,1.035837,1.002280,0.027165,0.750000,0.700000
2,1,-0.458154,0.000105,-0.999094,0.000682,0.750000,0.700000
0,0,-8.489816,-1.017159,1.030458,-0.013090,0.750000,0.750000
1,0,-8.488134,1.037110,1.031618,0.025451,0.750000,0.750000
2,1,-0.509563,0.000133,-1.028189,0.000578,0.750000,0.750000
0,0,-8.436973,-1.017805,1.056861,-0.012919,0.750000,0.800000
1,0,-8.435239,1.038315,1.057913,0.024115,0.750000,0.800000
2,1,-0.562281,0.000155,-1.054353,0.000433,0.750000,0.800000
0,0,-8.382945,-1.018453,1.080547,-0.012958,0.750000,0.850000
1,0,-8.381161,1.039476,1.081544,0.023221,0.750000,0.850000
2,1,-0.616155,0.000183,-1.077483,0.000557,0.750000,0.850000
0,0,-8.327855,-1.019061,1.101810,-0.012164,0.750000,0.900000
1,0,-8.326026,1.040582,1.102709,0.022109,0.750000,0.900000
2,1,-0.671069,0.000228,-1.098280,0.000911,0.750000,0.900000
0,0,-8.271820,-1.020050,1.120699,-0.019787,0.750000,0.950000
1,0,-8.269942,1.041642,1.121671,0.021207,0.750000,0.950000
